Exoplanet Name,Discovered Year
HD 66428 b,2005
HD 66428 b,2005
HD 66428 b,2005
HD 66428 b,2005
HD 66428 b,2005
HD 66428 b,2005
HD 73526 c,2005
HD 81040 b,2005
HD 81040 b,2005
HD 81040 b,2005
HD 81040 b,2005
HD 93083 b,2005
HD 99109 b,2005
HD 99109 b,2005
HD 99109 b,2005
HIP 14810 b,2005
HIP 14810 b,2005
HIP 14810 b,2005
HIP 14810 b,2005
HIP 14810 b,2005
OGLE-2005-BLG-071L b,2005
OGLE-2005-BLG-071L b,2005
OGLE-2005-BLG-071L b,2005
OGLE-2005-BLG-071L b,2005
OGLE-2005-BLG-071L b,2005
OGLE-2005-BLG-071L b,2005
OGLE-2005-BLG-390L b,2005
4 UMa b,2006
CHXR 73 b,2006
GJ 849 b,2006
GJ 849 b,2006
GJ 849 b,2006
GJ 849 b,2006
GJ 849 b,2006
GJ 849 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HAT-P-1 b,2006
HD 102195 b,2006
HD 102195 b,2006
HD 102195 b,2006
HD 102195 b,2006
HD 10647 b,2006
HD 10647 b,2006
HD 154345 b,2006
HD 154345 b,2006
HD 154345 b,2006
HD 154345 b,2006
HD 154345 b,2006
HD 159868 b,2006
HD 159868 b,2006
HD 159868 b,2006
HD 159868 b,2006
HD 160691 e,2006
HD 160691 e,2006
HD 160691 e,2006
HD 185269 b,2006
HD 185269 b,2006
HD 185269 b,2006
HD 185269 b,2006
HD 187085 b,2006
HD 187085 b,2006
HD 203030 b,2006
HD 203030 b,2006
HD 20782 b,2006
HD 20782 b,2006
HD 20782 b,2006
HD 20782 b,2006
HD 20782 b,2006
HD 224693 b,2006
HD 224693 b,2006
HD 23127 b,2006
HD 23127 b,2006
HD 23127 b,2006
HD 24040 b,2006
HD 24040 b,2006
HD 24040 b,2006
HD 24040 b,2006
HD 24040 b,2006
HD 33283 b,2006
HD 33283 b,2006
HD 33283 b,2006
HD 62509 b,2006
HD 62509 b,2006
HD 62509 b,2006
HD 62509 b,2006
HD 69830 b,2006
HD 69830 b,2006
HD 69830 c,2006
HD 69830 c,2006
HD 69830 d,2006
HD 69830 d,2006
HD 86081 b,2006
HD 86081 b,2006
HD 86081 b,2006
HIP 14810 c,2006
HIP 14810 c,2006
HIP 14810 c,2006
HN Peg b,2006
OGLE-2005-BLG-169L b,2006
OGLE-2005-BLG-169L b,2006
OGLE-2005-BLG-169L b,2006
Oph 11 b,2006
Oph 11 b,2006
SWEEPS-11 b,2006
SWEEPS-4 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
TrES-2 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
XO-1 b,2006
eps Tau b,2006
eps Tau b,2006
eps Tau b,2006
11 Com b,2007
11 Com b,2007
55 Cnc f,2007
55 Cnc f,2007
55 Cnc f,2007
55 Cnc f,2007
55 Cnc f,2007
55 Cnc f,2007
55 Cnc f,2007
BD-13 2130 b,2007
BD-13 2130 b,2007
CT Cha b,2007
GJ 317 b,2007
GJ 317 b,2007
GJ 317 b,2007
GJ 317 b,2007
GJ 581 c,2007
GJ 581 c,2007
GJ 581 c,2007
GJ 581 c,2007
GJ 581 c,2007
GJ 674 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-2 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-3 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-4 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-5 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HAT-P-6 b,2007
HD 100777 b,2007
HD 100777 b,2007
HD 11506 b,2007
HD 11506 b,2007
HD 11506 b,2007
HD 11506 b,2007
HD 11506 b,2007
HD 11506 b,2007
HD 125612 b,2007
HD 125612 b,2007
HD 125612 b,2007
HD 125612 b,2007
HD 125612 b,2007
HD 132406 b,2007
HD 132406 b,2007
HD 155358 b,2007
HD 155358 b,2007
HD 155358 c,2007
HD 156846 b,2007
HD 156846 b,2007
HD 156846 b,2007
HD 167042 b,2007
HD 167042 b,2007
HD 167042 b,2007
HD 170469 b,2007
HD 170469 b,2007
HD 170469 b,2007
HD 17092 b,2007
HD 17092 b,2007
HD 17092 b,2007
HD 171028 b,2007
HD 171028 b,2007
HD 17156 b,2007
HD 17156 b,2007
HD 17156 b,2007
HD 17156 b,2007
HD 17156 b,2007
